EAR,MAR,Pitch,Yaw,Label
1.0,0.8383786034026423,28.125,-4.78125,Drowsy
0.7,0.8726867271570246,28.5,-4.21875,Drowsy
1.0,0.8184839977952411,28.5,-4.5,Drowsy
0.7,0.8817910353855481,29.625,-4.78125,Drowsy
0.7,0.9414746296053633,32.25,-3.65625,Drowsy
0.7,0.9328293381333433,33.375,-3.375,Drowsy
1.0,0.8378692210001789,36.75,-4.21875,Drowsy
0.7,0.8519117499521767,36.375,-3.65625,Drowsy
1.0,0.8456506768754478,36.0,-3.65625,Drowsy
0.7,0.8466784249966754,35.25,-3.65625,Drowsy
0.7,0.862129189519881,35.625,-3.65625,Drowsy
1.0,0.8442879854955255,35.25,-3.375,Drowsy
1.0,0.9234784283523907,36.0,-3.65625,Drowsy
